Event Name,Date,End
1943 Detroit Race Riot,6/20/1943,6/22/1943
Agana Race Riot,12/24/1944,12/25/1944
Executive Order 9981,7/26/1948,
Jackie Robinson Starts,4/15/1947,
Pearl Harbor,12/7/1941,
US joins WWII,12/8/1941,
D-Day,6/6/1944,
End fo WWII in Europe,5/7/1944,
Japanese sign Unconditional Surrender,9/2/1945,
Hitler Invades Poland,9/1/1939,
Harlem Race Riot,8/1/1943,8/2/1943
Beaumont Race Riot,6/1/1943,
Sojourner Truth Homes Riot,2/28/1942,
Double V Campaign Begins,2/7/1942,
Internment of Japanese Americans,2/19/1942,3/20/1946
Rose Parks Defies Bus Order,12/1/1955,
The Lynching of Emmett Till ,8/28/1955,
Bracero Program,8/4/1942,
"Benjamin O. Davis, Jr. is 1st Black General",8/25/1940,
Civil Rights Movement Begins,1/1/1945,
Freeman Field Mutiny,4/5/1945,4/6/1945
March on Washington Movement,1/25/1941,
Tuskeegee Airmen,12/8/1941,9/2/1945
Executive Order 8802,6/1/1941,
Survey 32,3/1/1943,3/31/1943